1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
cbsa,shortname,cbsa_name,overlap_pop,spl_pop,overlap_index,bh_wa_diss,bh_w_diss,black_diss_index,black_xpx,hisp_pop2000,hisp_diss_index,hisp_xpx,loans_count,loans_amt,subprime_count,subprime_amt,,lnfcrate,pop2000,black_pop2000,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,ratio_boom_hist,psubprime0406,ratio_hs_hu2000
39580,Raleigh,"Raleigh-Cary, NC",58612,105473,0.5557062,0.3799539,0.3799531,0.404,0.406,45525,0.349,0.166,56930,8765516,11897,1381445,,0.8979318,797071,161329,1088765,0.4031086,13.90055,0.2024023,10.96775,0.0571154,South,0,1,0,1.315192,0.1857023,0.3012977
40060,Richmond,"Richmond, VA",179659,241204,0.74484254,0.5193785,0.5210179,0.532,0.578,24281,0.398,0.107,72852,11442662,21683,2808301,,0.2453576,1096957,340076,1225626,0.3018856,14.01896,0.3100176,10.93804,0.0221349,South,0,1,0,4.256549,0.2516589,0.1356863
40140,Riverside,"Riverside-San Bernardino-Ontario, CA",829837,1161644,0.714364297,0.4124339,0.4214157,0.449,0.305,1228962,0.425,0.578,338125,86636576,130922,30777212,,2.567683,3254821,280081,4115871,0.1865873,15.23036,0.0860511,10.91492,0.377582,West,0,0,1,8.933917,0.3099218,0.2193124
40380,Rochester,"Rochester, NY",122764,160649,0.764175314,0.6364003,0.6377531,0.664,0.523,46655,0.54,0.305,30264,2895409,7117,528128,,0.684595,1037831,119598,1034090,0.3021134,13.84903,0.1152384,10.80989,0.0449543,Northeast,0,0,0,1.675868,0.2070849,0.0469668
40900,Sacramento,"Sacramento--Arden-Arcade--Roseville, CA",195479,559974,0.34908585,0.3900621,0.4340109,0.556,0.322,278182,0.403,0.327,134791,34869165,36311,8465541,,2.127059,1796857,147978,2109832,0.2955801,14.56212,0.0823538,10.97644,0.1548159,West,0,0,1,7.440388,0.2114384,0.1864945
41180,St Louis,"St. Louis, MO-IL",371962,587703,0.632908119,0.6961228,0.6984286,0.732,0.657,40437,0.277,0.056,144370,18602065,43037,4515280,,1.353088,2698687,491858,2816710,0.2800839,14.85108,0.1822583,10.85346,0.014984,Midwest,1,0,0,2.72015,0.2621166,0.0901324
41620,Salt Lake City,"Salt Lake City, UT",38236,264636,0.144485255,0.4050616,0.4105689,0.357,0.04,113407,0.412,0.239,72481,12376555,20182,2831852,,1.344252,968858,13689,1115692,0.290278,13.92498,0.014129,10.91625,0.1170522,West,0,0,1,1.932411,0.2583398,0.1439608
41700,San Antonio,"San Antonio, TX",529269,529329,0.999886649,0.4787765,0.4814888,0.509,0.372,863162,0.497,0.694,74068,8593806,20531,1827956,,1.137733,1711703,115468,2031445,0.2387871,14.52426,0.067458,10.7408,0.5042709,South,0,1,0,3.107636,0.2818097,0.1675078
41740,San Diego,"San Diego-Carlsbad-San Marcos, CA",515745,752315,0.685543954,0.4694712,0.5024683,0.535,0.346,750965,0.506,0.543,154297,53573118,35081,10263610,,1.870843,2813833,186679,3001072,0.3322652,14.91448,0.0663433,11.01814,0.2668833,West,0,0,1,6.869879,0.162908,0.091956
41884,San Francisco,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",123157,430751,0.285912279,0.4694055,0.5382024,0.6,0.432,291563,0.535,0.497,63752,33999042,9077,3981007,,0.5173745,1731183,104572,1770460,0.4790222,14.38675,0.0604049,11.21936,0.1684184,West,0,0,1,4.219801,0.0921908,0.0351293
